X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,type,physical-address
46.3715603,-15.712718,http://www.openstreetmap.org/node/2514364990,tinny.regionals.mindless,openstreetmap¶n2514364990,Clinique Luthérienne,35.29%,2d9a095e611a44d98307a8e021ba7f7b,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.5418958,-18.9171467,http://www.openstreetmap.org/node/687251249,factories.mastering.alien,openstreetmap¶n687251249,Clinique Mpitsabo Mikambana 24/24,35.29%,a42e8a6aa8f24e31bddc758109e63364,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.5451994,-18.9225383,http://www.openstreetmap.org/node/668469258,shatters.solutions.tinned,openstreetmap¶n668469258,Clinique Saint-Paul Ambatoroka,35.29%,c91d3ecfcc0b4665880f86cc64724edb,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.0297557,-19.8634971,http://www.openstreetmap.org/node/2022545820,rejects.meal.segmented,openstreetmap¶n2022545820,Clinique Santé Plus,35.29%,4c8469702a2248cf99ace6c70d7aa908,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.5274176,-18.8962428,http://www.openstreetmap.org/node/577132563,searches.paramedic.bucks,openstreetmap¶n577132563,Clinique des sœurs Ankadifotsy,35.29%,97e9616ebcdc477dabfb88e9646d5b6f,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.4761818329882,-18.8510514,http://www.openstreetmap.org/way/46330981,fractions.lightbulb.birthdays,openstreetmap¶w46330981,Cliniques privées de l'Eglise Luthérienne d'Ambohibao,35.29%,55a38850f7cb481bbbba51f3071182a8,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
47.3285816,-14.8355601,http://www.openstreetmap.org/node/4360144272,achieves.numerals.jammy,OpenStreetMap¶n4360144272,Dispensaire,29.41%,d72478f5980d4381a8d47855f0a05459,2016/08/21 13:48:05+00,OpenStreetMap,2,hospital,
48.3476364,-21.2343005,http://www.openstreetmap.org/node/3031051165,consecutive.initiations.chainsaw,openstreetmap¶n3031051165,Dispensaire - CSB II Mananjary,35.29%,4b280ab7ac1d4ba59019df454ddda7df,2015/11/17 09:43:57.838+00,OpenStreetMap,2,clinic,
48.5934279,-17.4289395,http://www.openstreetmap.org/node/1539776837,trendiness.journalists.lasses,openstreetmap¶n1539776837,Dispensaire Catholique Imerimandroso,35.29%,9cd9de7d36f34dcc900030d5873cf660,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.5318757727234,-18.91362345,http://www.openstreetmap.org/way/206329817,really.pastime.tightest,openstreetmap¶w206329817,Dispensaire Havozo,35.29%,56c0840a6a784f4e82e8fd1fad7ee8ee,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
47.9896638,-14.8847605,http://www.openstreetmap.org/node/2539355729,inculcating.pylon.forts,openstreetmap¶n2539355729,Dispensaire SAF,35.29%,981864c671e745e9b3ddb0d87a693737,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
49.8509648,-17.001741,http://www.openstreetmap.org/node/678832015,festivities.heyday.changeless,openstreetmap¶n678832015,Dispensaire des Sœurs Filles de Marie,35.29%,5831e891d07b47e592b21481f5af0d1e,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
43.6775152,-23.3625834,http://www.openstreetmap.org/node/1591588325,tiny.surpasses.washable,openstreetmap¶n1591588325,Don Bosco Centre de Santé,35.29%,b7b9ab1f9bb448cd809a75bf7fec2235,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
47.0861926,-21.454857,http://www.openstreetmap.org/node/3734714725,recline.innocence.effort,openstreetmap¶n3734714725,Funhece,35.29%,53c81502574e4d7eaf55c50520c16c27,2015/11/17 09:43:57.838+00,OpenStreetMap,2,clinic,
